tweet_id,text,true_intent,should_escalate,ideal_reply
2052967,"My sister sent me an invitation for Spotify Family twice and I have yet to receive an email...not in my inbox, junk or deleted 🙄
@117168",,,
1831276,@spotifycares you charged me twice for my service this month,,,
645097,@115888 your premium of 3 months for 99p doesn’t work☹️😬,,,
1444694,"@SpotifyCares My Daily Mixes have not been refreshing. Ever. iPhone 6, iOS 11. AND stop playing as soon as they hit the end of current list.",,,
1916966,Hello @SpotifyCares ! It seems that i can't play any song from some artists. Lot's of people are talking about this bug. Any help please ?,,,
223038,@115888 IT WAS A MISTAKE,,,
832280,Anyone else having issues with @115888 playback stopping when the Lock Screen activates? https://t.co/OGtqQDrGSE #windows10mobile,,,
959765,@115888 SheerID is unable to verify my studentstatus. Anything you guys can do about this? I'm enrolled in 2 universities :(,,,
1778463,"YASSSSSS ✨🙌🏼✨🙌🏼 @115888, please add this?! https://t.co/vvkdhMO5IC",,,
353695,I fkn hate @115888 cause they don't have any @17317 Altho I remember Adi telling me something about she was gonna be on there soon.,,,
1359516,@SpotifyCares I really want to be able to delete radio stations from my recently played,,,
2338236,@SpotifyCares God bless,,,
1259992,"@SpotifyCares DM sent, thanks.",,,
1830972,"@SpotifyCares I think twitter will be faster than e-mail, English support is just as fine. Thnx.",,,
1971434,@SpotifyCares im having some ongoing issues with payments and need some resolution,,,
301175,"@SpotifyCares Apparently it's not only me-asked the bf an hour away, and it goes silent for him too... :( Thanks for the quick replies!",,,
1736463,"@524241 This album is not available, @SpotifyCares .",,,
2355315,@SpotifyCares My account says my subscription is about to end and my family members will lose access to Premium but I haven't requested it to end? How can I keep it going?,,,
1970627,@115888 is there any way to share one playlist on a family plan?,,,
656512,@131098 @115888 thank you for trying to help me. Appreciate it a lot xxxx,,,
250100,@SpotifyCares https://t.co/PAbwGNKgkT cheers,,,
1064065,"@SpotifyCares You recognize there is an issue right now, at least, or have you fixed it already?",,,
944597,@115888 AND when you give a song a thumbs down it dissappear so you can't undo it.,,,
1665434,@SpotifyCares Seems that I get a receipt every 3 months and I am charged every month. Would it be possible that I get a bill every month?,,,
867555,@SpotifyCares Can you please stop trying to shove Post Malone down my throat please? Thank you.,,,
1847480,"@SpotifyCares i do, yes. im from the united arab emirates",,,
1933000,"@SpotifyCares Hi there! We have a family premium plan. My son signed up ok, but my wife can't seem to make it work. Can you help?",,,
2337992,Where the fuck is super slimey @115888,,,
842552,"@SpotifyCares Logging out and back again worked! I had tried the restarting stuff but not that, just feeling silly now xD thanks :)",,,
649921,@117168 @29783 Why can’t I watch the video? It just tells me error and it doesn’t show up in the list of videos.,,,
2287579,@SpotifyCares Are you guys ever going to increase the download limit?,,,
1487926,@SpotifyCares Hey hey! This is all that's coming when i try to manage my family account or add members... Blankness? https://t.co/Q9EYQkpvEt,,,
385729,@SpotifyCares How can i hide certain playlists from Discover Weekly algorithm? I have some I like but don;t want them to influence DW,,,
1848050,@115888 Your chromecast integration is broken and doesn't respect playlist ordering. Skips back to # 1 after a song finishes. :(,,,
2720903,@117168 WHY AM I GETTING BABY JOGGER ADS??! I DO NOT WANT BABIES MAKE IT STOP,,,
468375,@SpotifyCares I'm trying to update my payment information and it keeps kicking me to Spotify for Students. I'm no longer a student; I just want to update my payment info for a premium account. I think this is a website bug,,,
141141,@115888 @115888 how to avail??,,,
1848084,@SpotifyCares know why my phone library just got wiped out? Only things saved are playlists,,,
2816732,"Would love 2 hear #Worship Bridgette Hammers #BreakingFree added @115888 #Playlist  ""Top Christian""  https://t.co/vtbLBLGmxF  @108044 https://t.co/OcpIonFKJJ",,,
51765,"@SpotifyCares Obviously they don't work. found workaround: Sort albums/artists by ""name"" then go back to ""songs"" &amp; shuffle again. THIS IS NOT IMPROVEMENT!",,,
1244054,"@SpotifyCares I’m using the iOS app, version 8.4.22",,,
2912,@115888 how?,,,
707054,@SpotifyCares Any idea why your Android app occasionally wipes out every download? Now redownloading about 1600 songs. Not the first time.,,,
688088,@115888 why do i still have to listen to ads and suggested songs when im just tryna mourn lil peep,,,
2077438,@SpotifyCares There are tracks featured on my Spotify which I did not write. Have been in contact already but no sign of solution or care.,,,
2975085,hi please release all of the tracks of reputation or you’re cancel @118062 @115888,,,
2667487,"@SpotifyCares Cool, thanks!",,,
172478,"@SpotifyCares Hey thanks for the reply! iOS 11.1.2, Spotify 8.4.28.1104

Looks like this is the breaking point for the UI (everything below that size seems fine but I didn’t do a thorough QA): https://t.co/asCDrMIHKd",,,
1761831,"@SpotifyCares Dont give me that automated crap If you were listening, this shoddy music verifying would have been sorted out back in '06 when you launched",,,
1811313,@147836 Can you PLEASE add an explicit filter to Spotify?  I really don't understand how this hasn't happened yet...,,,
2816727,@115888 Why can’t I play my welcome mix at home ?,,,
1145863,"@115888 I switched from Groove Music to Spotify (Windows 10 Mobile). I can hardly play music. It's ""Loading..."" messages riddle the app.",,,
470968,Morning @SpotifyCares can you suggest how I can get release radar to refresh please &amp; thank you?,,,
