tweet_id,text,predicted_intent,escalation_decision,drafted_reply
2052967,"My sister sent me an invitation for Spotify Family twice and I have yet to receive an email...not in my inbox, junk or deleted 🙄
@117168",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1831276,@spotifycares you charged me twice for my service this month,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
645097,@115888 your premium of 3 months for 99p doesn’t work☹️😬,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1444694,"@SpotifyCares My Daily Mixes have not been refreshing. Ever. iPhone 6, iOS 11. AND stop playing as soon as they hit the end of current list.",Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
1916966,Hello @SpotifyCares ! It seems that i can't play any song from some artists. Lot's of people are talking about this bug. Any help please ?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
223038,@115888 IT WAS A MISTAKE,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
832280,Anyone else having issues with @115888 playback stopping when the Lock Screen activates? https://t.co/OGtqQDrGSE #windows10mobile,Playback/Skipping Issue,Auto-handle,"Hi there! Sorry to hear about the playback trouble. Could you try logging out, restarting your device, and logging back in? Let us know how it goes! /AY"
959765,@115888 SheerID is unable to verify my studentstatus. Anything you guys can do about this? I'm enrolled in 2 universities :(,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1778463,"YASSSSSS ✨🙌🏼✨🙌🏼 @115888, please add this?! https://t.co/vvkdhMO5IC",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
353695,I fkn hate @115888 cause they don't have any @17317 Altho I remember Adi telling me something about she was gonna be on there soon.,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1359516,@SpotifyCares I really want to be able to delete radio stations from my recently played,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2338236,@SpotifyCares God bless,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1259992,"@SpotifyCares DM sent, thanks.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1830972,"@SpotifyCares I think twitter will be faster than e-mail, English support is just as fine. Thnx.",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1971434,@SpotifyCares im having some ongoing issues with payments and need some resolution,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
301175,"@SpotifyCares Apparently it's not only me-asked the bf an hour away, and it goes silent for him too... :( Thanks for the quick replies!",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
1736463,"@524241 This album is not available, @SpotifyCares .",General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
2355315,@SpotifyCares My account says my subscription is about to end and my family members will lose access to Premium but I haven't requested it to end? How can I keep it going?,Billing/Premium Subscription,Auto-handle,Hi there! We'd love to look into your account details. Please send us a DM with the email address linked to your account so we can help. /MU
1970627,@115888 is there any way to share one playlist on a family plan?,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
656512,@131098 @115888 thank you for trying to help me. Appreciate it a lot xxxx,General Inquiry,Auto-handle,Hi there! Thanks for reaching out. Send us a DM with more info so we can help you sort this out. /AY
